so2,no2,o3,co,WSPM,humi,dewp,pres
-0.9956850053937433,-0.5657142857142857,-0.7653631284916201,-0.9278586028616087,-0.8481012658227849,-0.39534883720930236,-0.46616541353383467,0.9259786476868337
-0.9935275080906149,-0.39428571428571424,-0.9217877094972067,-0.9038114704821449,-1.0,-0.2558139534883721,-0.4135338345864662,0.933096085409252
-0.9935275080906149,-0.3142857142857143,-0.9888268156424581,-0.9038114704821449,-0.8987341772151899,-0.16279069767441856,-0.33834586466165417,0.9387900355871892
-0.9956850053937433,-0.3142857142857143,-0.9888268156424581,-0.8797643381026813,-0.9240506329113924,0.09302325581395343,-0.21804511278195493,0.9387900355871892
-0.9978425026968716,-0.3142857142857143,-0.9888268156424581,-0.8797643381026813,-0.9746835443037974,-0.023255813953488413,-0.330827067669173,0.9359430604982206
-0.9978425026968716,-0.36,-0.9888268156424581,-0.9038114704821449,-0.8227848101265823,0.04651162790697683,-0.30827067669172936,0.9345195729537379
-0.9956850053937433,-0.37142857142857144,-0.9888268156424581,-0.9038114704821449,-0.9746835443037974,-0.023255813953488413,-0.36090225563909784,0.930249110320285
-0.9956850053937433,-0.39428571428571424,-0.9888268156424581,-0.8797643381026813,-0.8481012658227849,0.11627906976744184,-0.29323308270676696,0.933096085409252
-0.9935275080906149,-0.3828571428571429,-0.9888268156424581,-0.8557172057232175,-0.6962025316455697,-0.32558139534883723,-0.45112781954887227,0.9416370106761578
-0.9827400215749731,-0.3028571428571428,-0.9664804469273743,-0.7835758085848262,-0.6455696202531647,-0.4883720930232558,-0.443609022556391,0.9444839857651266
-0.9697950377562028,-0.26857142857142857,-0.9329608938547486,-0.711434411446435,-0.7468354430379747,-0.5348837209302326,-0.36090225563909784,0.940213523131672
-0.9633225458468176,-0.2914285714285715,-0.8770949720670391,-0.6873872790669713,-0.2911392405063292,-0.7674418604651163,-0.5864661654135339,0.930249110320285
